preds,labels,inputs,ids
"frozenset({'restaurant-name=none', '', 'train-destination=stevenage', 'hotel-internet=dontcare', 'restaurant-book people=8', 'train-arriveby=18:00', 'train-leaveat=dontcare', 'restaurant-book people=1', 'train-arriveby=08:00', 'restaurant-book time=18:00', 'train-leaveat=dont', 'train-departure=cambridge chop house', 'train-departure=cambridge and european', 'train-arriveby=thursday', 'restaurant-book day=tuesday', 'train-leaveat=18:00', 'hotel-stars=4', 'restaurant-book people=6', 'restaurant-area=centre', 'restaurant-food=european', 'restaurant-pricerange=expensive', 'hotel-book day=thursday', 'restaurant-food=british', 'hotel-type=guesthouse', 'restaurant-area=cam', 'hotel-book people=5', 'restaurant-food=none', 'train-day=sunday', 'restaurant-pricerange=none', 'train-book people=2', 'hotel-area=dont', 'train-book people=1', 'hotel-area=dontcare', 'restaurant-area=', 'restaurant-name=cambridge lodge restaurant s european', 'train-destination=cambridge', 'hotel-stars=dontcare', 'restaurant-name=cambridge chop house restaurant saturday', 'restaurant-pricerange=dontcare', 'restaurant-book people=2', 'restaurant-area=west', 'restaurant-area=none', 'restaurant-book day=thursday', 'hotel-parking=dontcare', 'restaurant-name=cambridge lodge restaurant', 'train-day=tuesday', 'hotel-pricerange=dontcare', 'restaurant-name=taj tandoori restaurant', 'train-departure=cambridge', 'hotel-book stay=5', 'hotel-name=acorn guest house', 'restaurant-name=tandoori palace', 'restaurant-book day=sunday'})","frozenset({'', 'train-destination=stevenage', 'hotel-internet=dontcare', 'hotel-name=avalon', 'restaurant-area=west', 'hotel-parking=dontcare', 'restaurant-food=european', 'restaurant-name=cambridge lodge restaurant', 'train-arriveby=08:00', 'hotel-type=guesthouse', 'train-day=sunday', 'train-book people=2'})","['', '', 'restaurant-food= european| restaurant-area= west', 'restaurant-name= cambridge lodge restaurant| restaurant-food= european| restaurant-area= west', 'restaurant-name= cambridge lodge restaurant| restaurant-area= west| restaurant-food= european| train-destination= stevenage| train-day= sunday| train-arriveby= 08:00', 'restaurant-food= european| train-day= sunday| train-book people= 2| train-arriveby= 08:00| restaurant-name= cambridge lodge restaurant| restaurant-area= west| train-destination= stevenage', '', 'hotel-type= guesthouse| hotel-internet= dontcare| hotel-parking= dontcare']","['PMUL3453.json', 'PMUL3453.json', 'PMUL3453.json', 'PMUL3453.json', 'PMUL3453.json', 'PMUL3453.json', 'SNG1298.json', 'SNG1298.json']"
"frozenset({'restaurant-name=none', 'hotel-internet=dontcare', '', 'train-destination=stevenage', 'train-arriveby=none', 'restaurant-book time=18:00', 'train-arriveby=13:15', 'train---------------------------------------------------', 'restaurant-book day=tuesday', 'train-leaveat=13:15', 'hotel-stars=4', 'restaurant-book people=6', 'hotel-parking=yes', 'hotel-name=avalon', 'train-arriveby=cambridge', 'restaurant-area=centre', 'restaurant-pricerange=expensive', 'attraction-type=none', 'hotel-type=guesthouse', 'restaurant-food=british', 'restaurant-food=none', 'restaurant-pricerange=none', 'attraction-type=museum', 'train', 'hotel-internet=yes', 'hotel-type=hotel', 'hotel-type', 'hotel-pricerange=moderate', 'train-book people=1', 'train-leave', 'train-arrive', 'hotel-area=dontcare', 'hotel-stars=dontcare', 'train-destination=cambridge', 'train-departure=cambridge london liverpool street kings lynn-leaveat=13:15', 'attraction-name=scott polar museum', 'hotel-parking=dontcare', 'restaurant-area=none', 'train-arriveby=13:15 st.st. and b guest house st. st. st. st. st. st. st. st. st. st. st. st. st s st polar museum', 'hotel-pricerange=dontcare', 'hotel-area=centre', 'train-arriveby=13:15 st.st............... st. st. st. st. st. st. st. st. st polar museum', 'hotel-book stay=2', 'train-day=friday', 'restaurant-name=taj tandoori restaurant', 'train-departure=cambridge', 'hotel-name=a and b guest house', 'train-departure=norwich', 'restaurant-name=tandoori palace', 'hotel-book day=friday'})","frozenset({'', 'hotel-internet=dontcare', 'hotel-name=avalon', 'hotel-parking=dontcare', 'hotel-type=guesthouse', 'train-day=friday', 'train-destination=cambridge', 'train-departure=norwich', 'train-leaveat=13:15', 'attraction-name=scott polar museum'})","['hotel-type= guesthouse| hotel-name= avalon| hotel-parking= dontcare| hotel-internet= dontcare', '', 'train-leaveat= 13:15| train-day= friday', 'train-destination= cambridge| train-leaveat= 13:15| train-day= friday| train-departure= norwich', 'train-day= friday| train-departure= norwich| train-leaveat= 13:15| train-destination= cambridge', 'train-leaveat= 13:15| train-departure= norwich| attraction-name= scott polar museum| train-day= friday| train-destination= cambridge', 'train-destination= cambridge| train-departure= norwich| attraction-name= scott polar museum| train-leaveat= 13:15| train-day= friday', '']","['SNG1298.json', 'MUL0600.json', 'MUL0600.json', 'MUL0600.json', 'MUL0600.json', 'MUL0600.json', 'MUL0600.json', 'SNG02163.json']"
"frozenset({'restaurant-name=none', '', 'train-destination=stevenage', 'train-leaveat=dontcare', 'restaurant-book time=18:00', 'restaurant-book day=tuesday', 'hotel-stars=4', 'restaurant-book people=6', 'hotel-parking=yes', 'hotel-book people=1', 'restaurant-area=centre', 'train-arriveby=12:30', 'restaurant-pricerange=expensive', 'hotel-book day=wednesday', 'restaurant-food=british', 'restaurant-food=none', 'train-de', 'train-day=wednesday', 'restaurant-pricerange=none', 'train', 'train-departure=cambridge', 'train-departure=leicester', 'hotel-internet=yes', 'hotel-type=hotel', 'hotel-pricerange=moderate', 'hotel-area=dontcare', 'train-departure=london liverpool street kings cross', 'train-leaveat=12:30', 'train-destination=cambridge', 'hotel-stars=dontcare', 'hotel-area=north saturday', 'hotel-pricerange=', 'restaurant-area=none', 'hotel-pricerange=dontcare', 'hotel-area=centre', 'hotel-book stay=2', 'restaurant-name=taj tandoori restaurant', 'train-book people=1', 'hotel-name=a and b guest house', 'restaurant-name=tandoori palace', 'hotel-area=north'})","frozenset({'', 'train-book people=4', 'train-arriveby=12:30', 'train-leaveat=12:30', 'train-departure=lecester', 'train-destination=cambridge', 'train-day=wednesday', 'train-departure=leicester'})","['', '', '', '', 'train-leaveat= 12:30| train-arriveby= 12:30| train-day= wednesday', 'train-arriveby= 12:30| train-day= wednesday| train-departure= lecester| train-destination= cambridge', 'train-departure= leicester| train-day= wednesday| train-destination= cambridge| train-arriveby= 12:30', 'train-arriveby= 12:30| train-destination= cambridge| train-departure= leicester| train-day= wednesday']","['SNG02163.json', 'SNG02163.json', 'SNG02163.json', 'PMUL4312.json', 'PMUL4312.json', 'PMUL4312.json', 'PMUL4312.json', 'PMUL4312.json']"
"frozenset({'', 'restaurant-name=none', 'hotel-pricerange=expensive', 'restaurant-book time=18:00', 'restaurant-book day=tuesday', 'hotel', 'hotel-stars=4', 'hotel-pricerange=none', 'hotel-internet=', 'hotel-parking=yes', 'restaurant-book people=6', 'hotel-name=worth house', 'restaurant-area=centre', 'train-arriveby=12:30', 'hotel-book people=4', 'restaurant-pricerange=expensive', 'hotel-book day=wednesday', 'attraction-area=west', 'hotel-type=guesthouse', 'restaurant-food=british', 'restaurant-food=none', 'hotel-name=city centre north bed and breakfast', 'train-day=wednesday', 'hotel-book stay=3', 'restaurant-pricerange=none', 'hotel-price', 'hotel-internet=yes', 'train-departure=leicester', 'hotel-type=hotel', 'hotel-pricerange=moderate', 'attraction-name=clare college', 'attraction-type=college', 'restaurant-name=hotel du vin and bistro', 'train-destination=cambridge', 'hotel-internet=none', 'restaurant-area=west', 'restaurant-area=none', 'train-book people=4', 'hotel-area=centre', 'hotel-area=west', 'restaurant-pricerange=moderate', 'hotel-name=a and b guest house', 'restaurant-name=taj tandoori restaurant', 'hotel-book stay=2', 'restaurant-name=tandoori palace', 'hotel-area=north'})","frozenset({'hotel-name=worth house', 'train-book people=4', 'train-arriveby=12:30', 'hotel-book people=4', 'attraction-area=west', 'hotel-book day=wednesday', 'hotel-book stay=3', 'restaurant-pricerange=moderate', 'attraction-type=college', 'restaurant-name=hotel du vin and bistro', 'train-destination=cambridge', 'train-day=wednesday', 'train-departure=leicester'})","['train-day= wednesday| train-book people= 4| train-destination= cambridge| train-arriveby= 12:30| train-departure= leicester', 'train-destination= cambridge| hotel-name= worth house| train-arriveby= 12:30| train-departure= leicester| train-day= wednesday| train-book people= 4', 'train-book people= 4| hotel-book people= 4| hotel-name= worth house| train-departure= leicester| train-arriveby= 12:30| hotel-book day= wednesday| train-destination= cambridge| hotel-book stay= 3| train-day= wednesday', 'train-destination= cambridge| hotel-book day= wednesday| train-departure= leicester| train-day= wednesday| hotel-book people= 4| train-book people= 4| train-arriveby= 12:30| hotel-book stay= 3| hotel-name= worth house', '', 'restaurant-name= hotel du vin and bistro', 'restaurant-name= hotel du vin and bistro', 'restaurant-name= hotel du vin and bistro| restaurant-pricerange= moderate| attraction-area= west| attraction-type= college']","['PMUL4312.json', 'PMUL4312.json', 'PMUL4312.json', 'PMUL4312.json', 'PMUL2007.json', 'PMUL2007.json', 'PMUL2007.json', 'PMUL2007.json']"
"frozenset({'', 'restaurant-name=none', 'attraction-name=churchills college', 'restaurant-book people=1', 'restaurant-book time=11:30', 'restaurant-book time=18:00', 'hotel-internet=no', 'taxi-leaveat=02:30', 'restaurant-book day=tuesday', 'taxi-leaveat=none', 'hotel-stars=4', 'hotel-pricerange=none', 'taxi-leaveat=17:45', 'restaurant-book people=6', 'hotel-parking=yes', 'hotel-type=none', 'restaurant-area=centre', 'attraction-area=west', 'taxi-destination=hotel du vin and bistro', 'hotel-name=hotel du vin and bistro', 'restaurant-pricerange=expensive', 'hotel-book day=thursday', 'taxi-departure=churchills college', 'restaurant-food=british', 'restaurant-book day=saturday', 'hotel-type=guesthouse', 'taxi-departure=church', 'restaurant-food=none', 'hotel-book people=5', 'restaurant-pricerange=none', 'hotel-internet=yes', 'hotel-type=hotel', 'attraction-name=clare college', 'hotel-pricerange=moderate', 'hotel-area=dontcare', 'hotel-parking=none', 'hotel-', 'attraction-type=college', 'restaurant-name=hotel du vin and bistro', 'hotel-stars=dontcare', 'hotel-internet=none', 'hotel-name', 'hotel-area=none', 'restaurant-area=west', 'restaurant-area=none', 'hotel-p', 'hotel-pricerange=dontcare', 'hotel-area=centre', 'hotel-park', 'hotel-area=west', 'restaurant-pricerange=moderate', 'restaurant-name=taj tandoori restaurant', 'hotel-name=a and b guest house', 'hotel-name=alpha milton guest house', 'hotel-name=acorn guest house', 'hotel-book stay=5', 'hotel-stars=none', 'restaurant-name=tandoori palace'})","frozenset({'taxi-leaveat=17:45', 'hotel-parking=yes', 'attraction-name=churchills college', 'taxi-departure=churchill college', 'taxi-destination=hotel du vin and bistro', 'attraction-area=west', 'hotel-internet=no', 'hotel-pricerange=dontcare', 'taxi-departure=churchills college', 'hotel-type=guesthouse', 'restaurant-pricerange=moderate', 'attraction-type=college', 'restaurant-name=hotel du vin and bistro', 'hotel-name=alpha milton guest house', 'hotel-name=a and b guest house', 'hotel-internet=yes'})","['restaurant-pricerange= moderate| restaurant-name= hotel du vin and bistro| attraction-area= west| attraction-type= college', 'restaurant-pricerange= moderate| taxi-departure= churchill college| taxi-destination= hotel du vin and bistro| restaurant-name= hotel du vin and bistro| attraction-type= college| attraction-name= churchills college| attraction-area= west', 'attraction-area= west| taxi-departure= churchills college| taxi-leaveat= 17:45| taxi-destination= hotel du vin and bistro| restaurant-pricerange= moderate| restaurant-name= hotel du vin and bistro| attraction-name= churchills college| attraction-type= college', '', 'hotel-type= guesthouse', 'hotel-internet= no| hotel-pricerange= dontcare| hotel-type= guesthouse', 'hotel-internet= yes| hotel-type= guesthouse| hotel-name= alpha milton guest house', 'hotel-type= guesthouse| hotel-parking= yes| hotel-internet= yes| hotel-name= a and b guest house']","['PMUL2007.json', 'PMUL2007.json', 'PMUL2007.json', 'SNG01268.json', 'SNG01268.json', 'SNG01268.json', 'SNG01268.json', 'SNG01268.json']"
"frozenset({'', 'restaurant-name=none', 'hotel-name=huntingdon marriot', 'restaurant-book people=8', 'hotel-pricerange=expensive', 'restaurant-name=mahal of cambridge', 'restaurant-book time=18:00', 'restaurant-book day=tuesday', 'hotel-stars=4', 'hotel-name=allenbell', 'hotel-pricerange=none', 'restaurant-book time=17:15', 'restaurant-book people=6', 'hotel-parking=yes', 'hotel-book people=1', 'hotel-type=none', 'restaurant-area=centre', 'restaurant-pricerange=expensive', 'hotel-book day=thursday', 'hotel-book day=wednesday', 'attraction-area=east', 'hotel-type=guesthouse', 'restaurant-food=british', 'restaurant-food=none', 'attraction-name=none', 'restaurant-pricerange=none', 'attraction-type=museum', 'hotel-internet=yes', 'hotel-type=hotel', 'hotel-pricerange=moderate', 'hotel-area=east', 'hotel-area=dontcare', 'hotel-parking=none', 'hotel-type=', 'hotel-internet=none', 'hotel-area=none', 'hotel-book day=tuesday', 'restaurant-area=none', 'hotel-pricerange=dontcare', 'hotel-parking=', 'hotel-book stay=2', 'hotel-name=a and b guest house', 'hotel-book stay=5', 'restaurant-name=taj tandoori restaurant', 'restaurant-book day=wednesday', 'hotel-book people=8', 'hotel-stars=none', 'restaurant-name=tandoori palace', 'hotel-area=north'})","frozenset({'', 'attraction-area=centre', 'hotel-parking=yes', 'hotel-name=huntingdon marriot', 'restaurant-book people=8', 'attraction-type=sports', 'hotel-book day=wednesday', 'restaurant-name=mahal of cambridge', 'hotel-pricerange=dontcare', 'restaurant-book time=17:15', 'hotel-type=guesthouse', 'hotel-book stay=2', 'restaurant-book day=wednesday', 'hotel-book people=8', 'hotel-name=allenbell', 'hotel-internet=yes'})","['hotel-parking= yes| hotel-name= a and b guest house| hotel-type= guesthouse| hotel-internet= yes', 'hotel-parking= yes| hotel-internet= yes| hotel-name= allenbell| hotel-type= guesthouse| hotel-pricerange= dontcare', '', '', 'hotel-book day= wednesday| hotel-name= huntingdon marriot| hotel-book people= 8| hotel-book stay= 2', 'hotel-name= huntingdon marriot| hotel-book stay= 2| hotel-book day= wednesday| hotel-book people= 8| restaurant-name= mahal of cambridge', 'hotel-book day= wednesday| restaurant-book day= wednesday| restaurant-name= mahal of cambridge| hotel-book people= 8| restaurant-book people= 8| hotel-name= huntingdon marriot| hotel-book stay= 2| restaurant-book time= 17:15', '']","['SNG01268.json', 'SNG01268.json', 'PMUL3070.json', 'PMUL3070.json', 'PMUL3070.json', 'PMUL3070.json', 'PMUL3070.json', 'SNG1244.json']"
"frozenset({'attraction-area=centre', 'train-destination=stevenage', 'restaurant-name=none', '', 'attraction-name=cherry hinton village centre', 'train-arriveby=18:00', 'restaurant-book time=18:00', 'train-departure=london liverpool street st st st st st', 'train-departure=emmanuel college', 'restaurant-book day=tuesday', 'train-leaveat=18:00', 'restaurant-book people=6', 'attraction-name=christ college', 'restaurant-area=centre', 'train-arriveby=12:30', 'restaurant-pricerange=expensive', 'restaurant-food=british', 'train-arriveby=11:30', 'restaurant-food=none', 'attraction-type=museum', 'restaurant-pricerange=none', 'train-leaveat=none', 'train-depart', 'train-leaveat=11:30', 'train-leaveat=12:30', 'train-day=thursday thursday thursday thursday thursday thursday thursday thursday thursday thursday thursday', 'attraction-type=college', 'train-destination=london liverpool street', 'restaurant-area=none', 'train-departure=', 'train-day=thursday', 'restaurant-name=taj tandoori restaurant', 'train-departure=cambridge', 'restaurant-name=tandoori palace'})","frozenset({'attraction-area=centre', '', 'attraction-area=west', 'attraction-type=college', 'attraction-name=emmanuel college'})","['attraction-type= sports| attraction-area= centre', 'attraction-area= centre| attraction-type= college', 'attraction-area= centre| attraction-type= college', '', '', '', '', '']","['SNG1244.json', 'SNG1244.json', 'SNG1244.json', 'SNG0239.json', 'SNG0239.json', 'SNG0239.json', 'MUL0855.json', 'MUL0855.json']"
"frozenset({'restaurant-name=none', '', 'restaurant-name=city stop restaurant', 'train-arriveby=18:00', 'train-departure=kings lynnnnnnnnnnnnnnnnnnnnnnnnnnn', 'restaurant-book time=18:00', 'train-departure=eraina', 'restaurant-name=maharajah tandoori restaurant', 'attraction-name=magdalene college', 'restaurant-book day=tuesday', 'train-departure=london liverpool street st kings cross', 'train-leaveat=18:00', 'restaurant-area=north', 'restaurant-name=madalene college', 'restaurant-book people=6', 'restaurant-book time=17:00', 'restaurant-area=north of classical archaelogy and anthropology', 'restaurant-name=city stop restaurant saturday', 'restaurant-area=centre', 'train-arriveby=12:30', 'restaurant-food=european', 'attraction-area=west', 'restaurant-pricerange=expensive', 'train-departure=london liverpool street', 'restaurant-area', 'train-day=saturday', 'restaurant-food=british', 'train-arriveby=11:30', 'restaurant-name=chinese', 'restaurant-area=west tandoori palace', 'restaurant-food=none', 'restaurant-book time=19:00', 'restaurant-pricerange=none', 'restaurant-area=west satur', 'train-departure=cambridge', 'restaurant-food=indian', 'attraction-name=clare college', 'restaurant-book people=5', 'restaurant-area=north american', 'restaurant-name=city stop restaurant spot s restaurant st s restaurant', 'restaurant-name=', 'restaurant-name=saigon city s restaurant', 'attraction-type=college', 'train-leaveat=12:30', 'train-destination=cambridge', 'restaurant-name=saigon city', 'restaurant-area=west', 'restaurant-name=curry garden', 'restaurant-book day=thursday', 'restaurant-area=none', 'restaurant-name=saigon city restaurant saturday', 'train-day=thursday', 'restaurant-name=taj tandoori restaurant', 'train-book people=1', 'restaurant-food=chinese', 'restaurant-area=north saturday', 'restaurant-name=tandoori palace'})","frozenset({'restaurant-area=west', 'restaurant-name=city stop restaurant', 'restaurant-food=european', 'restaurant-food=indian', 'restaurant-pricerange=expensive', 'attraction-area=west', 'attraction-area=none', 'attraction-type=college', 'attraction-type=park', 'attraction-name=magdalene college', 'restaurant-area=north', 'restaurant-name=tandoori palace'})","['attraction-type= college| attraction-area= west', 'restaurant-food= indian| attraction-name= magdalene college| restaurant-pricerange= expensive| attraction-area= west| attraction-type= college', 'restaurant-area= west| attraction-area= west| restaurant-food= indian| attraction-name= magdalene college| restaurant-pricerange= expensive| attraction-type= college', 'attraction-type= college| restaurant-area= west| restaurant-food= indian| restaurant-name= tandoori palace| restaurant-pricerange= expensive| attraction-name= magdalene college| attraction-area= west', '', 'restaurant-area= north| restaurant-pricerange= expensive', 'restaurant-food= european| restaurant-area= north| restaurant-pricerange= expensive', 'restaurant-name= city stop restaurant| restaurant-food= european| restaurant-pricerange= expensive| restaurant-area= north']","['MUL0855.json', 'MUL0855.json', 'MUL0855.json', 'MUL0855.json', 'MUL2459.json', 'MUL2459.json', 'MUL2459.json', 'MUL2459.json']"
"frozenset({'', 'restaurant-name=none', 'restaurant-name=city stop restaurant', 'restaurant-book people=1', 'restaurant-book time=11:30', 'restaurant-area=north of the junction of archaelogy and anthropology', 'restaurant-book time=18:00', 'restaurant-book day=tuesday', 'tuesday', 'restaurant-area=north', 'taxi-departure=milton country park', 'hotel-stars=4', 'restaurant-book time=17:00', 'restaurant-book people=6', 'hotel-stars', 'hotel-parking=yes', 'restaurant-food=european', 'restaurant-area=centre', 'hotel-book people=4', 'restaurant-pricerange=expensive', 'hotel-book day=thursday', 'restaurant-food=british', 'hotel-type=guesthouse', 'hotel-book people=5', 'restaurant-food=none', 'attraction-type=park', 'restaurant-pricerange=none', 'hotel-internet=yes', 'hotel-area=dont', 'saturday', 'hotel-type=hotel', 'taxi-destination=city stop restaurant', 'hotel-pricerange=moderate', 'hotel-area=dontcare', 'taxi-leaveat=20:30', 'attraction-area=none', 'hotel-name=acorn guest house', 'restaurant-area=none', 'attraction-name=milton country park', 'hotel-parking=', 'restaurant-name=taj tandoori restaurant', 'hotel-book stay=5', 'restaurant-food=', 'restaurant-area=north saturday', 'restaurant-book time=20:30', 'restaurant-name=tandoori palace', 'hotel-area=north'})","frozenset({'restaurant-name=city stop restaurant', 'restaurant-area=north', 'hotel-stars=4', 'taxi-departure=milton country park', 'hotel-book people=1', 'restaurant-food=european', 'restaurant-pricerange=expensive', 'hotel-type=guesthouse', 'attraction-type=park', 'hotel-internet=yes', 'hotel-type=hotel', 'taxi-destination=city stop restaurant', 'hotel-book day=saturday', 'hotel-pricerange=moderate', 'taxi-leaveat=20:30', 'attraction-area=none', 'attraction-name=milton country park', 'hotel-book stay=5', 'hotel-name=acorn guest house'})","['attraction-type= park| restaurant-area= north| restaurant-food= european| attraction-area= none| restaurant-name= city stop restaurant| restaurant-pricerange= expensive', 'attraction-name= milton country park| restaurant-name= city stop restaurant| attraction-area= none| restaurant-food= european| restaurant-area= north| restaurant-pricerange= expensive| attraction-type= park', 'attraction-area= none| taxi-leaveat= 20:30| attraction-name= milton country park| restaurant-pricerange= expensive| attraction-type= park| restaurant-area= north| taxi-departure= milton country park| restaurant-food= european| restaurant-name= city stop restaurant', 'attraction-type= park| restaurant-area= north| restaurant-name= city stop restaurant| taxi-leaveat= 20:30| attraction-name= milton country park| taxi-destination= city stop restaurant| restaurant-pricerange= expensive| restaurant-food= european| attraction-area= none| taxi-departure= milton country park', '', 'hotel-stars= 4| hotel-pricerange= moderate| hotel-type= hotel', 'hotel-pricerange= moderate| hotel-internet= yes| hotel-stars= 4', 'hotel-pricerange= moderate| hotel-stars= 4| hotel-name= acorn guest house| hotel-internet= yes| hotel-type= guesthouse']","['MUL2459.json', 'MUL2459.json', 'MUL2459.json', 'MUL2459.json', 'PMUL2627.json', 'PMUL2627.json', 'PMUL2627.json', 'PMUL2627.json']"
"frozenset({'restaurant-name=none', '', 'train-destination=stevenage', 'taxi-arriveby=11:45', 'train-arriveby=18:00', 'restaurant-book time=18:00', 'taxi-departure=acorn guest house', 'restaurant-name=oak bistro', 'attraction-name=broughton house gallery', 'restaurant-book day=tuesday', 'hotel-stars=4', 'train-leaveat=18:00', 'restaurant-book people=6', 'hotel-book people=1', 'hotel-parking=yes', 'train-departure=saturday', 'restaurant-name=the oak bistro', 'hotel-type=none', 'restaurant-area=centre', 'restaurant-pricerange=expensive', 'restaurant-food=', 'hotel-type=guesthouse', 'restaurant-food=british', 'train-departure=london liverpool street saturday', 'train-arriveby=11:30', 'restaurant-food=none', 'hotel-type=dont', 'restaurant-book people=3', 'attraction-type=museum', 'restaurant-pricerange=none', 'train', 'hotel-area=dont', 'hotel-internet=yes', 'train-departure=cambridge', 'restaurant-book time=11:00', 'hotel-book day=saturday', 'restaurant-book day=friday', 'hotel-pricerange=moderate', 'hotel-area=dontcare', 'hotel-type=', 'hotel-area=none', 'restaurant-pricerange=dontcare', 'train-destination=london liverpool street', 'restaurant-area=none', 'taxi-destination=broughton house gallery', 'train-day=tuesday', 'hotel-parking=', 'train-day=thursday', 'restaurant-pricerange=moderate', 'train-day=friday', 'hotel-book stay=5', 'restaurant-name=taj tandoori restaurant', 'hotel-name=acorn guest house', 'restaurant-name=tandoori palace'})","frozenset({'restaurant-name=none', 'restaurant-name=oak bistros', 'taxi-arriveby=11:45', 'taxi-departure=acorn guest house', 'attraction-name=broughton house gallery', 'hotel-stars=4', 'hotel-book people=1', 'restaurant-name=the oak bistro', 'restaurant-area=centre', 'restaurant-food=british', 'restaurant-book people=3', 'attraction-type=museum', 'hotel-internet=yes', 'restaurant-book time=11:00', 'hotel-book day=saturday', 'restaurant-book day=friday', 'hotel-pricerange=moderate', 'taxi-destination=broughton house gallery', 'restaurant-pricerange=moderate', 'hotel-book stay=5', 'hotel-name=acorn guest house'})","['hotel-book people= 1| hotel-stars= 4| hotel-book stay= 5| hotel-pricerange= moderate| hotel-book day= saturday| hotel-name= acorn guest house| hotel-internet= yes', 'hotel-book stay= 5| hotel-pricerange= moderate| hotel-internet= yes| hotel-book day= saturday| hotel-stars= 4| hotel-name= acorn guest house| attraction-type= museum| hotel-book people= 1', 'hotel-name= acorn guest house| hotel-book people= 1| hotel-book day= saturday| hotel-stars= 4| hotel-internet= yes| hotel-pricerange= moderate| attraction-type= museum| hotel-book stay= 5', 'hotel-name= acorn guest house| hotel-book people= 1| taxi-arriveby= 11:45| taxi-departure= acorn guest house| attraction-name= broughton house gallery| hotel-book stay= 5| attraction-type= museum| taxi-destination= broughton house gallery| hotel-pricerange= moderate| hotel-stars= 4| hotel-internet= yes| hotel-book day= saturday', '', 'restaurant-food= british| restaurant-area= centre| restaurant-name= none', 'restaurant-name= the oak bistro| restaurant-food= british| restaurant-pricerange= moderate| restaurant-area= centre', 'restaurant-book day= friday| restaurant-pricerange= moderate| restaurant-food= british| restaurant-area= centre| restaurant-book time= 11:00| restaurant-book people= 3| restaurant-name= oak bistros']","['PMUL2627.json', 'PMUL2627.json', 'PMUL2627.json', 'PMUL2627.json', 'SSNG0114.json', 'SSNG0114.json', 'SSNG0114.json', 'SSNG0114.json']"
